id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,timestamp
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.12,123565718491,4,212009980553,5601274869.0,2.15,2.03,0.074764,3.65142,4184035094.0,3.50475,58274974538.0,99986277500.0,100000000000.0,3.4,-37.69403,2018-01-07T00:00:00.000Z,0.00268621,78726.30148,2014-05-22T00:00:00.000Z,,2025-04-04T20:27:46.983Z,2025-04-04 13:28:20.286445
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,596.73,86988345076,5,86988345076,764221980.0,600.78,584.69,9.72,1.65626,1214774531.0,1.41626,145887575.79,145887575.79,200000000.0,788.84,-24.55313,2024-12-04T10:35:25.220Z,0.0398177,1494606.67897,2017-10-19T00:00:00.000Z,,2025-04-04T20:27:46.693Z,2025-04-04 13:28:20.286445
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,122.5,62948340374,6,73133055578,6030477832.0,123.31,113.81,7.28,6.31665,3648570108.0,6.15276,514449911.529926,597685240.7612484,,293.31,-58.35686,2025-01-19T11:15:27.957Z,0.500801,24289.782,2020-05-11T19:35:23.449Z,,2025-04-04T20:27:36.520Z,2025-04-04 13:28:20.286445
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999888,60683169690,7,60725102065,9721153500.0,1.0,0.999792,1.35e-06,0.00014,-124677365.6288681,-0.20503,60691568514.55579,60733506693.28579,,1.17,-14.73919,2019-05-08T00:40:28.300Z,0.877647,13.92498,2023-03-11T08:02:13.981Z,,2025-04-04T20:27:40.773Z,2025-04-04 13:28:20.286445
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.169239,25135450713,8,25137722499,1732550526.0,0.171719,0.158043,0.0111958,7.08403,1547217289.0,6.55928,148702566383.7052,148716006383.7052,,0.731578,-76.94051,2021-05-08T05:08:23.458Z,8.69e-05,194020.68108,2015-05-06T00:00:00.000Z,,2025-04-04T20:27:40.484Z,2025-04-04 13:28:20.286445
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.658534,23692593962,9,29619068315,944669044.0,0.666639,0.629901,0.01916516,2.99751,650280385.0,2.82211,35995957636.81128,45000000000.0,45000000000.0,3.09,-78.70312,2021-09-02T06:00:10.474Z,0.01925275,3314.65886,2020-03-13T02:22:55.044Z,,2025-04-04T20:27:39.229Z,2025-04-04 13:28:20.286445
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.239604,22740718402,10,22740724096,604026063.0,0.24221,0.23532,0.00428381,1.82042,342650495.0,1.52982,94979869949.31204,94979893729.20947,,0.431288,-44.59669,2024-12-04T00:10:40.323Z,0.00180434,13142.9469,2017-11-12T00:00:00.000Z,"{'times': 125.10712882887947, 'currency': 'usd', 'percentage': 12510.712882887947}",2025-04-04T20:27:38.396Z,2025-04-04 13:28:20.286445
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,76576.0,1517950065606,1,1517950065606,43895578979.0,77146.0,73966.0,2448.76,3.30347,42616298227.0,2.88859,19846656.0,19846656.0,21000000.0,105495.0,-27.71633,2025-01-20T07:16:25.271Z,51.3,148551.25173,2013-07-05T00:00:00.000Z,,2025-04-04T20:28:18.434Z,2025-04-04 13:28:20.450029
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1653.73,199418310478,2,199418310478,18015417050.0,1667.59,1599.15,39.36,2.43826,3973399134.0,2.033,120666956.0999141,120666956.0999141,,4228.93,-61.03856,2021-12-01T08:38:24.623Z,0.381455,431838.30244,2015-10-20T00:00:00.000Z,"{'times': 27.88476848287499, 'currency': 'btc', 'percentage': 2788.476848287499}",2025-04-04T20:28:12.467Z,2025-04-04 13:28:20.450029
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.913824,131671840907,3,131671840907,64316476673.0,0.914618,0.900041,0.00777123,0.8577,912717824.0,0.69801,144086679997.8651,144086679997.8651,,1.17,-21.70571,2025-01-25T16:51:57.989Z,0.533096,71.21003,2015-03-02T00:00:00.000Z,,2025-04-04T20:28:18.528Z,2025-04-04 13:28:20.450029
